phase,step,opportunity_timer,active_timer,active,force_x,force_y,force_z,entry_was_forward,forward_input,forward_x,forward_y,forward_z,disabled
tick,70,0,0.145000339,1,0,-4500,0,0,1,-0,-1,-0,0
tick,71,0,0.140000343,1,0,-4500,0,0,1,-0,-1,-0,0
tick,72,0,0.135000348,1,0,-4500,0,0,1,-0,-1,-0,0
tick,73,0,0.130000353,1,0,-4500,0,0,1,-0,-1,-0,0
tick,74,0,0.125000358,1,0,-4500,0,0,1,-0,-1,-0,0
tick,75,0,0.120000355,1,0,-4500,0,0,1,-0,-1,-0,0
tick,76,0,0.115000352,1,0,-4500,0,0,1,-0,-1,-0,0
tick,77,0,0.11000035,1,0,-4500,0,0,1,-0,-1,-0,0
tick,78,0,0.105000347,1,0,-4500,0,0,1,-0,-1,-0,0
tick,79,0,0.100000344,1,0,-4500,0,0,1,-0,-1,-0,0
tick,80,0,0.0950003415,1,0,-4500,0,0,1,-0,-1,-0,0
tick,81,0,0.0900003389,1,0,-4500,0,0,1,-0,-1,-0,0
tick,82,0,0.0850003362,1,0,-4500,0,0,1,-0,-1,-0,0
tick,83,0,0.0800003335,1,0,-4500,0,0,1,-0,-1,-0,0
tick,84,0,0.0750003308,1,0,-4500,0,0,1,-0,-1,-0,0
tick,85,0,0.0700003281,1,0,-4500,0,0,1,-0,-1,-0,0
tick,86,0,0.0650003254,1,0,-4500,0,0,1,-0,-1,-0,0
tick,87,0,0.0600003265,1,0,-4500,0,0,1,-0,-1,-0,0
tick,88,0,0.0550003275,1,0,-4500,0,0,1,-0,-1,-0,0
tick,89,0,0.0500003286,1,0,-4500,0,0,1,-0,-1,-0,0
tick,90,0,0.0450003296,1,0,-4500,0,0,1,-0,-1,-0,0
tick,91,0,0.0400003307,1,0,-4500,0,0,1,-0,-1,-0,0
tick,92,0,0.0350003317,1,0,-4500,0,0,1,-0,-1,-0,0
tick,93,0,0.0300003327,1,0,-4500,0,0,1,-0,-1,-0,0
tick,94,0,0.0250003338,1,0,-4500,0,0,1,-0,-1,-0,0
tick,95,0,0.0200003348,1,0,-4500,0,0,1,-0,-1,-0,0
tick,96,0,0.0150003349,1,0,-4500,0,0,1,-0,-1,-0,0
tick,97,0,0.0100003351,1,0,-4500,0,0,1,-0,-1,-0,0
tick,98,0,0.00500033516,1,0,-4500,0,0,1,-0,-1,-0,0
tick,99,0,3.35276127e-07,1,0,-4500,0,0,1,-0,-1,-0,0
tick,100,0,0,0,0,-3000,0,0,1,-0,-1,-0,0
tick,101,0,0,0,0,-3000,0,0,1,-0,-1,-0,0
tick,102,0,0,0,0,-3000,0,0,1,-0,-1,-0,0
tick,103,0,0,0,0,-3000,0,0,1,-0,-1,-0,0
tick,104,0,0,0,0,-3000,0,0,1,-0,-1,-0,0
