step,steer,drift,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,q_w,q_x,q_y,q_z,drift_input,slip,trigger,trigger_timer,linger_timer
52,1,1,-0.000970334047,-5.20879889,0,-0.0276886858,-19.3310604,0,0,0,0.164976984,0.999995887,0,0,0.0028974968,1,0,1,0.0399999879,0.200000003
53,1,1,-0.00111937977,-5.30539322,0,-0.0298091434,-19.3188305,0,0,0,0.17750819,0.999994457,0,0,0.00334126595,1,0,1,0.034999989,0.200000003
54,1,1,-0.00127902103,-5.40192652,0,-0.0319282562,-19.3066158,0,0,0,0.190016851,0.999992788,0,0,0.00381630543,1,0,1,0.02999999,0.200000003
55,1,1,-0.0014492512,-5.49839878,0,-0.0340460241,-19.2944183,0,0,0,0.202502996,0.999990821,0,0,0.00432255957,1,0,1,0.0249999911,0.200000003
56,1,1,-0.0016300634,-5.59481001,0,-0.0361624435,-19.2822361,0,0,0,0.214966655,0.999988317,0,0,0.00485997135,1,0,1,0.0199999921,0.200000003
57,1,1,-0.00182145101,-5.6911602,0,-0.0382775143,-19.2700691,0,0,0,0.227407888,0.999985456,0,0,0.00542848371,1,0,1,0.0149999922,0.200000003
58,1,1,-0.00202340726,-5.78744984,0,-0.0403912365,-19.2579193,0,0,0,0.239826724,0.999981999,0,0,0.00602804171,1,0,1,0.00999999233,0.200000003
59,1,1,-0.00223592529,-5.88367891,0,-0.0425036028,-19.2457848,0,0,0,0.252223194,0.999978006,0,0,0.0066585876,1,0,1,0.00499999244,0.200000003
60,1,1,-0.00245899847,-5.97984743,0,-0.0446146168,-19.2336655,0,0,0,0.264597356,0.999973416,0,0,0.00732006598,1,0,0,0,0.200000003
61,1,1,-0.0026308659,-6.07595444,0,-0.0343734659,-19.2213821,0,0,-0.00857984554,0.311389208,0.999967456,1.57012579e-07,-2.14490374e-05,0.00809851848,1,0,0,0,0.195000008
62,1,1,-0.00275105867,-6.17199993,2.21243979e-09,-0.0240385495,-19.209095,4.42487959e-07,3.6494973e-16,-0.017228663,0.357378542,0.999960005,4.86665499e-07,-6.45194159e-05,0.00899193343,1,0,0,0,0.190000013
63,1,1,-0.00281899865,-6.26798391,1.11576099e-08,-0.0135880094,-19.1968021,1.78903394e-06,-1.0302449e-14,-0.0259647965,0.402578175,0.999950528,1.00541422e-06,-0.000129429245,0.0099983355,1,0,0,0,0.185000017
64,1,1,-0.00283400132,-6.36390638,3.37924817e-08,-0.0030005239,-19.1844978,4.52697441e-06,-3.8572227e-14,-0.0348061323,0.447000712,0.999938786,1.73078456e-06,-0.000216441302,0.0111157773,1,0,0,0,0.180000022
65,1,1,-0.00279527786,-6.45976734,7.96724891e-08,0.00774470158,-19.1721802,9.17600119e-06,-1.0074101e-13,-0.0437701158,0.490658551,0.999924541,2.6816333e-06,-0.000325861853,0.0123423412,1,0,0,0,0.175000027
66,1,1,-0.00270193815,-6.55556679,1.61145934e-07,0.0186679475,-19.1598454,1.6294689e-05,-1.29523332e-13,-0.0528737456,0.533563912,0.999907255,3.87842556e-06,-0.000458039518,0.0136761414,1,0,0,0,0.170000032
67,1,1,-0.00255299336,-6.65130424,2.93580797e-07,0.0297889691,-19.1474895,2.64869705e-05,-1.33370189e-13,-0.0621335991,0.575728834,0.999886632,5.34352557e-06,-0.000613364216,0.0151153188,1,0,0,0,0.165000036
68,1,1,-0.00234735827,-6.74697971,4.95623794e-07,0.0411270149,-19.1351089,4.04086022e-05,-2.08296244e-14,-0.0715658143,0.617165208,0.999862134,7.10150016e-06,-0.00079226587,0.0166580379,1,0,0,0,0.160000041
69,1,1,-0.00208385405,-6.84259319,7.89491878e-07,0.052700825,-19.1226978,5.87736249e-05,-1.75353465e-13,-0.0811861306,0.657884598,0.999833405,9.17944453e-06,-0.000995213748,0.0183024984,1,0,0,0,0.155000046
70,1,1,-0.00176121085,-6.93814468,1.20129607e-06,0.0645286292,-19.1102524,8.23608425e-05,-1.15655397e-13,-0.0910098553,0.697898567,0.999799848,1.16073006e-05,-0.00122271478,0.0200469214,1,0,0,0,0.150000051
71,1,1,-0.0013780701,-7.03363371,1.7613977e-06,0.0766281635,-19.0977688,0.000112020338,2.1573116e-14,-0.101051904,0.73721832,0.999761045,1.44182068e-05,-0.0014753131,0.0218895599,1,0,0,0,0.145000055
72,1,1,-0.000932986848,-7.12905979,2.50479798e-06,0.0890166536,-19.0852413,0.000148680032,2.45862358e-13,-0.111326799,0.775855005,0.999716461,1.76488411e-05,-0.00175358867,0.023828689,1,0,0,0,0.14000006
73,1,1,-0.000424432743,-7.22442293,3.47155947e-06,0.101710826,-19.0726643,0.000193352287,3.3346584e-13,-0.12184865,0.813819587,0.999665499,2.13397725e-05,-0.00205815607,0.0258626081,1,0,0,0,0.135000065
74,1,1,0.000149201835,-7.31972313,4.70726263e-06,0.114726923,-19.0600319,0.000247140619,3.94632352e-13,-0.132631212,0.851122737,0.999607682,2.55358318e-05,-0.00238966383,0.027989639,1,0,0,0,0.13000007
75,1,1,0.000789605139,-7.41495991,6.26349447e-06,0.128080666,-19.0473385,0.000311246375,8.50997061e-14,-0.143687829,0.887775123,0.999542356,3.02864792e-05,-0.00274879322,0.0302081313,1,0,0,0,0.125000075
76,1,1,0.00149854168,-7.51013279,8.1983726e-06,0.141787305,-19.0345764,0.000386975677,-1.22893666e-13,-0.155031487,0.923787117,0.999469042,3.56461678e-05,-0.00313625671,0.0325164497,1,0,0,0,0.120000072
77,1,1,0.00227784947,-7.6052413,1.05771032e-05,0.155861557,-19.02174,0.00047574623,4.41903838e-13,-0.166674793,0.959168971,0.999387026,4.16747353e-05,-0.00355279795,0.0349129885,1,0,0,0,0.115000069
