steer,forward_velocity,lateral_velocity,steer_angle,front_slip,rear_slip,front_force,rear_force,lateral_force,yaw_torque
-1,19.2309513,-0.326185763,-0.0919350013,-0.164452359,0.0238375366,-161.163315,23.3607864,-137.802521,-92.2620544
0,19.2309513,-0.326185763,0,0.0100805834,0.0238375366,9.87897205,23.3607864,33.2397575,-6.74090719
1,19.2309513,-0.326185763,0.0919350013,0.184613511,0.0238375366,180.921249,23.3607864,204.282043,78.7802277
