scenario,step,force_x,force_y,force_z,torque_x,torque_y,torque_z,drift_input,slip,trigger,trigger_timer,linger_timer,steer_angle
drift_release,33,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.135000065,0.0896081924
drift_release,34,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.13000007,0.0896081924
drift_release,35,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.125000075,0.0896081924
drift_release,36,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.120000072,0.0896081924
drift_release,37,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.115000069,0.0896081924
drift_release,38,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.110000066,0.0896081924
drift_release,39,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.105000064,0.0896081924
drift_release,40,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.100000061,0.0896081924
drift_release,41,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0950000584,0.0896081924
drift_release,42,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0900000557,0.0896081924
drift_release,43,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.085000053,0.0896081924
drift_release,44,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0800000504,0.0896081924
drift_release,45,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0750000477,0.0896081924
drift_release,46,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.070000045,0.0896081924
drift_release,47,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0650000423,0.0896081924
drift_release,48,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0600000434,0.0896081924
drift_release,49,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0550000444,0.0896081924
drift_release,50,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0500000454,0.0896081924
drift_release,51,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0450000465,0.0896081924
drift_release,52,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0400000475,0.0896081924
drift_release,53,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0350000486,0.0896081924
drift_release,54,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0300000496,0.0896081924
drift_release,55,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0250000507,0.0896081924
drift_release,56,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0200000517,0.0896081924
drift_release,57,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0150000518,0.0896081924
drift_release,58,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.0100000519,0.0896081924
drift_release,59,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0.00500005204,0.0896081924
drift_release,60,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,5.21540642e-08,0.0896081924
drift_release,61,-640.109741,0,0,0,44.8076782,39.3584747,0,0,0,0,0,0.0896081924
drift_release,62,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,63,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,64,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,65,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,66,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,67,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,68,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,69,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,70,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,71,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,72,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,73,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,74,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,75,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,76,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,77,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,78,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
drift_release,79,-3200.54834,0,0,0,32.0054855,196.792419,0,0,0,0,0,0.0896081924
auto_slip,0,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,1,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,2,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,3,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,4,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,5,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,6,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,7,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,8,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,9,-4382.69336,0,0,0,43.826931,0,0,0,0,0,0,0
auto_slip,10,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,11,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,12,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,13,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,14,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,15,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,16,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,17,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,18,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,19,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,20,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,21,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,22,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,23,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,24,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,25,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,26,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,27,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,28,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,29,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,30,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,31,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,32,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,33,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,34,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,35,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,36,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,37,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,38,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
auto_slip,39,-1553.54297,0,0,0,108.748009,0,0,1,0,0,0,0
